ID,Place (x),Knowledge (y),Action (z),ETName
3460,-0.31,-0.25,0.13,Earth Spirit
3461,-0.06,-0.19,-0.50,Earth Spirit
3462,0.13,0.00,0.06,Boundary
3463,-0.13,-0.13,0.63,Earth Spirit
3464,-0.13,0.06,-0.38,Ecoscience
3465,-0.38,0.13,0.13,Ecoscience
3466,-0.25,0.38,-0.63,Ecoscience
3467,-0.44,0.06,0.00,Ecoscience
3468,-0.25,-0.13,-0.19,Earth Spirit
3470,-0.25,-0.31,-0.19,Earth Spirit
3471,-0.50,-0.19,0.38,Earth Spirit
3472,-0.31,0.25,0.44,Ecoscience
3473,-0.44,0.38,0.94,Ecoscience
3474,0.13,0.06,-0.06,Technoprogress
3475,-0.31,-0.13,-0.13,Earth Spirit
3476,-0.31,0.44,0.31,Ecoscience
3478,-0.63,-0.13,0.75,Earth Spirit
3479,-0.13,0.00,-0.63,Boundary
3480,0.13,0.13,-0.38,Technoprogress
3481,-0.13,0.00,-0.13,Boundary
3482,-0.19,0.13,-0.25,Ecoscience
3483,0.13,0.00,-0.06,Boundary
3485,-0.06,-0.06,0.00,Earth Spirit
3487,-0.06,-0.06,-0.25,Earth Spirit
3488,-0.13,0.06,0.38,Ecoscience
3489,-0.06,0.13,-0.06,Ecoscience
3490,-0.25,-0.25,-0.50,Earth Spirit
3499,-0.38,0.00,0.81,Boundary
3500,-0.19,0.31,-0.44,Ecoscience
3501,0.00,-0.13,-0.25,Boundary
3502,-0.19,-0.06,0.75,Earth Spirit
3503,0.00,0.00,-0.19,Boundary
3505,-0.19,-0.19,0.50,Earth Spirit
3506,-0.25,0.00,0.50,Boundary
3507,-0.13,0.19,-0.31,Ecoscience
3508,0.06,0.06,-0.31,Technoprogress
3510,-0.19,-0.38,-0.06,Earth Spirit
3511,-0.38,0.25,0.75,Ecoscience
3512,-0.19,0.19,0.56,Ecoscience
3513,-0.94,-0.81,0.06,Earth Spirit
3516,0.19,0.44,0.06,Technoprogress
3517,-0.31,0.00,0.69,Boundary
3518,0.00,-0.25,0.13,Boundary
3520,-0.06,-0.19,0.25,Earth Spirit
3521,0.13,-0.31,0.81,Traditional Ways
3522,-0.31,-0.06,0.00,Earth Spirit
3523,-0.69,-0.13,-0.13,Earth Spirit
3524,-0.63,-0.31,-0.31,Earth Spirit
3525,0.38,0.19,-0.25,Technoprogress
3528,0.44,-0.13,0.88,Traditional Ways
3529,-0.50,-0.50,0.94,Earth Spirit
3530,-0.69,-0.13,0.25,Earth Spirit
3531,0.00,0.00,-0.44,Boundary
3532,-0.13,0.00,-0.56,Boundary
3533,-0.50,-0.31,0.00,Earth Spirit
3534,-0.69,-0.50,0.13,Earth Spirit
3535,-0.31,0.38,0.81,Ecoscience
3536,-0.25,0.00,-0.31,Boundary
3537,-0.38,0.31,-0.25,Ecoscience
3538,-0.38,0.25,0.25,Ecoscience
3539,-0.38,0.19,0.00,Ecoscience
3540,-0.25,0.31,-0.06,Ecoscience
3541,-0.56,-0.75,0.44,Earth Spirit
3542,-0.69,-0.06,0.06,Earth Spirit
3543,-0.63,-0.06,0.94,Earth Spirit
3544,-0.25,0.25,-0.56,Ecoscience
3545,0.00,-0.13,0.19,Boundary
3546,-0.31,0.31,0.50,Ecoscience
3547,-0.50,0.13,0.69,Ecoscience
3548,-0.56,-0.06,0.56,Earth Spirit
3549,-0.19,0.31,0.13,Ecoscience
3550,-0.06,0.38,-0.06,Ecoscience
3551,-0.19,-0.25,-0.50,Earth Spirit
3552,-0.50,-0.06,0.56,Earth Spirit
3553,-0.44,-0.25,-0.19,Earth Spirit
3554,-0.31,-0.06,-0.38,Earth Spirit
3555,-0.25,-0.25,-0.56,Earth Spirit
3556,0.00,-0.31,0.19,Boundary
3557,-0.63,-0.06,0.63,Earth Spirit
3558,-0.31,0.19,0.50,Ecoscience
3559,-0.75,-0.56,0.56,Earth Spirit
3560,-0.56,-0.44,0.56,Earth Spirit
3561,-0.31,-0.19,0.25,Earth Spirit
3562,-0.38,-0.38,0.44,Earth Spirit
3563,0.38,0.63,0.69,Technoprogress
3564,0.00,-0.38,0.94,Boundary
3565,-0.31,-0.50,0.44,Earth Spirit
3566,-0.38,0.06,0.44,Ecoscience
3567,-0.19,-0.06,0.06,Earth Spirit
3568,-0.50,-0.31,0.31,Earth Spirit
3569,-0.13,0.06,-0.06,Ecoscience
3570,-0.44,-0.06,0.00,Earth Spirit
3572,-0.19,-0.19,0.63,Earth Spirit
3573,0.19,-0.44,0.69,Traditional Ways
3574,-0.06,-0.13,0.88,Earth Spirit
3575,0.06,0.31,0.00,Technoprogress
3576,-0.63,-0.25,-0.50,Earth Spirit
3578,-0.25,0.56,-0.06,Ecoscience
3579,-0.44,0.25,0.81,Ecoscience
3580,-0.38,-0.38,0.06,Earth Spirit
3581,-0.44,-0.13,0.81,Earth Spirit
3582,-0.13,0.13,0.31,Ecoscience
3583,-0.19,0.75,0.25,Ecoscience
3587,-0.19,0.06,0.50,Ecoscience
3588,-0.44,0.00,0.63,Boundary
3590,0.00,0.19,0.06,Boundary
3591,-0.25,-0.44,0.44,Earth Spirit
3592,0.06,0.63,0.94,Technoprogress
3593,-0.25,0.00,0.06,Boundary
3594,-0.38,0.06,0.19,Ecoscience
3595,-0.56,0.19,0.25,Ecoscience
3596,-0.69,0.00,0.19,Boundary
3597,0.19,-0.13,0.38,Traditional Ways
3598,-0.06,0.31,0.31,Ecoscience
3599,-0.38,0.13,0.56,Ecoscience
3601,-0.31,-0.06,0.44,Earth Spirit
3602,-0.44,-0.38,0.63,Earth Spirit
3603,0.00,0.13,0.25,Boundary
3606,-0.06,-0.06,0.00,Earth Spirit
3607,-0.13,-0.06,0.19,Earth Spirit
3608,-0.38,-0.13,0.75,Earth Spirit
3610,-0.38,-0.19,0.31,Earth Spirit
3611,-0.19,0.25,0.69,Ecoscience
3612,-0.44,-0.25,0.25,Earth Spirit
3613,-0.50,0.13,0.94,Ecoscience
3616,-0.06,0.44,0.25,Ecoscience
3618,0.00,0.06,-0.19,Boundary
3620,-0.44,-0.06,0.56,Earth Spirit
3621,0.00,-0.44,0.63,Boundary
3622,-0.06,0.00,-0.06,Boundary
3623,-0.56,-0.75,0.63,Earth Spirit
3624,-0.50,0.06,0.44,Ecoscience
3625,-0.19,0.06,0.06,Ecoscience
3631,-0.13,-0.44,0.31,Earth Spirit
3632,-0.44,0.06,0.25,Ecoscience
3633,0.31,0.19,-0.25,Technoprogress
3634,-0.13,-0.06,0.56,Earth Spirit
3635,-0.19,-0.31,-0.31,Earth Spirit
3636,-0.31,-0.06,0.31,Earth Spirit
3637,-0.06,-0.38,0.19,Earth Spirit
3638,-0.63,-0.25,0.25,Earth Spirit
3639,-0.38,-0.13,0.31,Earth Spirit
3641,-0.31,0.31,0.50,Ecoscience
3642,-0.19,-0.19,0.56,Earth Spirit
3643,-0.25,0.13,0.50,Ecoscience
3644,0.25,0.13,-0.06,Technoprogress
3645,-0.06,0.44,-0.38,Ecoscience
3646,-0.44,-0.44,0.25,Earth Spirit
3647,-0.94,0.31,0.00,Ecoscience
3651,-0.38,-0.69,-0.06,Earth Spirit
3652,-0.63,-0.50,0.50,Earth Spirit
3655,-0.31,0.13,0.56,Ecoscience
3656,0.00,0.00,-0.13,Boundary
3657,-0.63,-0.50,0.06,Earth Spirit
3658,-0.44,0.19,0.19,Ecoscience
3660,-0.13,-0.13,0.44,Earth Spirit
3661,-0.50,-0.06,0.44,Earth Spirit
3662,-0.13,0.25,0.00,Ecoscience
3663,-0.69,0.63,0.56,Ecoscience
3664,-0.56,-0.44,0.19,Earth Spirit
3665,-0.31,-0.06,0.31,Earth Spirit
3666,-0.50,0.13,0.31,Ecoscience
3667,-0.13,-0.31,0.56,Earth Spirit
3669,-0.44,-0.44,0.06,Earth Spirit
3673,-0.38,-0.06,0.31,Earth Spirit
3674,-0.31,0.38,0.31,Ecoscience
3678,-0.13,0.00,0.19,Boundary
3679,-0.31,0.13,0.63,Ecoscience
3682,-0.44,-0.31,0.38,Earth Spirit
3683,-0.50,-0.06,0.69,Earth Spirit
3684,-0.31,-0.69,0.19,Earth Spirit
3685,0.06,-0.19,0.56,Traditional Ways
3686,-0.13,-0.38,0.63,Earth Spirit
3687,-0.13,-0.25,0.38,Earth Spirit
3688,-0.38,-0.38,-0.50,Earth Spirit
3690,-0.50,0.25,0.44,Ecoscience
3692,0.00,0.06,0.25,Boundary
3701,0.13,-0.44,-0.06,Traditional Ways
3702,-0.38,-0.31,-0.19,Earth Spirit
3704,-0.38,-0.19,0.25,Earth Spirit
3708,-0.25,0.25,0.56,Ecoscience
3713,-0.31,-0.13,-0.06,Earth Spirit
3722,-0.13,-0.06,0.50,Earth Spirit
3723,-0.69,-0.13,0.19,Earth Spirit
3724,-0.25,0.25,0.31,Ecoscience
3726,-0.19,0.00,-0.13,Boundary
3730,-0.50,-0.31,0.63,Earth Spirit
3731,-0.25,0.31,0.69,Ecoscience
3732,-0.56,0.06,0.75,Ecoscience
3734,-0.19,0.25,0.50,Ecoscience
3735,-0.56,0.13,0.31,Ecoscience
3738,-0.38,0.00,0.19,Boundary
3739,-0.31,0.38,0.88,Ecoscience
3740,-0.38,-0.69,0.94,Earth Spirit
3741,0.00,-0.06,0.75,Boundary
3742,-0.69,-0.25,0.69,Earth Spirit
3743,-0.50,0.06,0.31,Ecoscience
3747,-0.69,-0.38,0.25,Earth Spirit
3752,-0.56,0.06,0.25,Ecoscience
3757,-0.06,0.13,0.75,Ecoscience
